id,pedestrian_category,pedestrian_condition,pedestrian_behaviour,situation_at_the_point_of_accident
30226275,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
30228673,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
30229624,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
32220930,Woman,good no adverse circumstances were found,"confused, hasty, indecisive behaviour",pedestrian entering the roadway near the crosswalk (approx. within 20 m)
33225303,child (up to 15 years),"inattention, distraction","correct, appropriate",crossing at a marked crossing
33228002,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
35224762,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
35226044,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
35228396,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
36222781,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
37220721,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
37221964,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
37222084,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
37224662,man,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,walking on the wrong side
37229522,man,good no adverse circumstances were found,Side impact,Crossing outside the crossing (20 metres or more from the crossing)
38220118,man,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,pedestrian entering the roadway near the crosswalk (approx. within 20 m)
38222850,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
38225849,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
38226228,Woman,"inattention, distraction",poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
38226448,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
39222546,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
39223268,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
39225495,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
39225813,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
39226692,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
39227848,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
40222723,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
40223274,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
40225812,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
40226029,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
40227108,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",crossing at a marked crossing
40227197,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entering the roadway near the crosswalk (approx. within 20 m)
40227215,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
40227740,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
40227953,man,"inattention, distraction",poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
40228912,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
41222636,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
41222725,man,other condition not specified,"sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering the roadway near the crosswalk (approx. within 20 m)
2100220005,another group,not detected,,another situation
2100220029,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100220066,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100220067,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2100220079,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
2100220100,Woman,"inattention, distraction",sudden entry into the road from a boarding or dividing island,another situation
2100220104,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2100220113,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100220129,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100220165,man,not detected,,crossing at a marked crossing
2100220170,another group,not detected,,another situation
2100220196,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2100220229,another group,not detected,,another situation
2100220250,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the wrong side
2100220310,man,good no adverse circumstances were found,,pedestrian entering the roadway near the crosswalk (approx. within 20 m)
2100220326,man,good no adverse circumstances were found,"correct, appropriate",another situation
2100220341,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2100220342,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100220345,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2100220365,man,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2100220367,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2100220386,another group,not detected,,another situation
2100220426,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2100220429,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100220484,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,Side impact,pedestrian entering the roadway near the crosswalk (approx. within 20 m)
2100220511,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100220525,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering the roadway near the crosswalk (approx. within 20 m)
2100220537,another group,not detected,,another situation
2100220539,man,"inattention, distraction",poor estimation of the distance and speed of the vehicle,pedestrian entering on the STOP signal
2100220569,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100220574,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100220602,man,not detected,Side impact,crossing at a marked crossing
2100220613,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2100220620,child (up to 15 years),not detected,,crossing at a marked crossing
2100220656,Woman,good no adverse circumstances were found,,crossing at a marked crossing
2100220662,another group,not detected,,another situation
2100220696,Woman,good no adverse circumstances were found,,Crossing outside the crossing (20 metres or more from the crossing)
2100220703,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100220748,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100220753,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2100220814,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2100220822,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100220824,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100220850,another group,not detected,,another situation
2100220880,another group,not detected,,another situation
2100220919,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100220921,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2100220923,man,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
2100221074,man,"inattention, distraction",poor estimation of the distance and speed of the vehicle,crossing just in front of or behind a vehicle at a bus stop
2100221094,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
