iter	PRAUC	Logloss
0	0.8828239372	0.6719320967
1	0.8976758953	0.6537974978
2	0.8965714851	0.6381355927
3	0.8974127939	0.6214392801
4	0.8973060838	0.6057784797
5	0.9004131769	0.5906244236
6	0.9008433281	0.5756151522
7	0.9011149855	0.5654101589
8	0.9008050314	0.5545786152
9	0.902402141	0.545430542
10	0.902270904	0.5363424661
11	0.9036099921	0.5259196449
12	0.9039117182	0.5186904709
13	0.9039988979	0.5090920865
14	0.905401628	0.5033392989
15	0.9055572584	0.4963614744
16	0.9056361444	0.4891903491
17	0.9056640654	0.4843312808
18	0.9060343505	0.4777905174
19	0.9055857514	0.4730478868
20	0.9061765164	0.4692502701
21	0.9063103647	0.4646808655
22	0.9058769471	0.4607479724
23	0.9067425342	0.4562231195
24	0.9063820015	0.4528262734
25	0.9067565246	0.4490727655
26	0.9072031107	0.4457524753
27	0.9073024663	0.4422442101
28	0.9071411358	0.4392662357
29	0.9071311792	0.4363243335
30	0.9073287855	0.4332497594
31	0.9078467355	0.4304210337
32	0.9082407106	0.4277406544
33	0.9088831671	0.4250314121
34	0.9096158888	0.4216077818
35	0.9099575007	0.4199653061
36	0.9101596401	0.4174383677
37	0.9104489413	0.41466205
38	0.9108888423	0.4121683676
39	0.9110882567	0.4107519012
40	0.9114379006	0.407886575
41	0.9115541518	0.4063873823
42	0.9119070872	0.4050047699
43	0.9119716287	0.4028320403
44	0.9119453636	0.4016090863
45	0.9123836205	0.4002822346
46	0.9125258254	0.3986125143
47	0.9127340822	0.3974604778
48	0.9129263258	0.39607313
49	0.913117275	0.3945895038
50	0.913426328	0.3927917785
51	0.9136781951	0.3918062747
52	0.913987158	0.3908680004
53	0.9143943604	0.3893036271
54	0.9145415183	0.3875838713
55	0.9147586124	0.3869275897
56	0.9148975732	0.3858978003
57	0.9151075113	0.3845451014
58	0.9153445774	0.383521526
59	0.915645352	0.3827017567
60	0.9160493264	0.3811287901
61	0.9164139932	0.380286687
62	0.9166704661	0.3795296485
63	0.9168803271	0.3787486684
64	0.9172247352	0.3777082863
65	0.917456024	0.3768397212
66	0.9176995399	0.3758950488
67	0.9178138333	0.3754354105
68	0.9178611457	0.3746703509
69	0.9180630465	0.3737099492
70	0.9183152793	0.3729495127
71	0.9185875389	0.372210005
72	0.9186985132	0.3716511141
73	0.9189112408	0.3708256637
74	0.9190917858	0.3698306211
75	0.919326783	0.3688069965
76	0.9195990496	0.3680318804
77	0.9197374754	0.3670173059
78	0.9197914939	0.3668405502
79	0.9199957521	0.3662491951
80	0.9200934712	0.365700603
81	0.9201702488	0.3650998407
82	0.920453812	0.3644884804
83	0.9206858151	0.3637643793
84	0.9208559002	0.3633433853
85	0.9209212001	0.3629539645
86	0.920968699	0.3624390162
87	0.921083418	0.3617749453
88	0.9213445341	0.3608862173
89	0.9213765772	0.3606514997
90	0.921512123	0.3602408511
91	0.9217044077	0.3597566701
92	0.9218428132	0.3592528013
93	0.9220424956	0.3587262736
94	0.9222531753	0.3581633153
95	0.9223671534	0.3575768056
96	0.9225012735	0.3572624686
97	0.922670395	0.3564617023
98	0.9229715287	0.3554302727
99	0.9231015256	0.3548750552
100	0.9231273302	0.3545053923
101	0.9232387249	0.3539097985
102	0.923424395	0.3534353595
103	0.9235130917	0.3530531463
104	0.9235321156	0.3529050379
105	0.9235778113	0.3527134118
106	0.9236498209	0.3523291626
107	0.9237237209	0.3519847325
108	0.9239515815	0.3514805235
109	0.924000707	0.3512353171
110	0.9241321673	0.3508418736
111	0.9242237704	0.3505195677
112	0.9244567472	0.3499592018
113	0.9245452625	0.3496058226
114	0.9246293655	0.3493203342
115	0.9247516501	0.3489249639
116	0.9248676414	0.348651872
117	0.9250037751	0.3483494276
118	0.9251548025	0.3479788674
119	0.9253066792	0.3476025502
120	0.9254229404	0.3473658075
121	0.9255417895	0.347076824
122	0.9256227568	0.346813131
123	0.9257572676	0.3463822392
124	0.9258160288	0.3462018553
125	0.9258695119	0.3460749459
126	0.9260324167	0.3455072305
127	0.9261097899	0.3450997703
128	0.9261529083	0.3447049982
129	0.9261950899	0.3444744203
130	0.9263186703	0.3441318644
131	0.9263609514	0.3439840678
132	0.9264214365	0.3434942141
133	0.9265432348	0.3431365783
134	0.9265352587	0.3431088009
135	0.926641491	0.3429045929
136	0.9267922715	0.3423573267
137	0.9268875602	0.342185264
138	0.9269864209	0.3419013457
139	0.9271380081	0.3414458852
140	0.9274018378	0.3409589101
141	0.9274281856	0.3408941759
142	0.9275360808	0.3406458655
143	0.9276450301	0.3403306482
144	0.9276452948	0.3403303242
145	0.9277418868	0.340067902
146	0.9278003543	0.3398139379
147	0.9279867043	0.3393819196
148	0.9280831436	0.3390488975
149	0.9281381015	0.3388080229
150	0.9281726834	0.3387242858
151	0.9282150516	0.338653844
152	0.9284480635	0.3382485506
153	0.9285889522	0.3380368232
154	0.9287047313	0.3377532903
155	0.9287459949	0.337585487
156	0.9288331643	0.3373490991
157	0.92887781	0.3371204905
158	0.9289688558	0.3368986731
159	0.9290089155	0.3367023049
160	0.9291158906	0.3364256942
161	0.9292603609	0.3361047499
162	0.9292936589	0.3359285065
163	0.9293753837	0.3357119678
164	0.929451083	0.3355516144
165	0.9295150381	0.335363435
166	0.9295747434	0.3352266474
167	0.9296648371	0.334970598
168	0.9297707853	0.3348131271
169	0.9298385693	0.3346608644
170	0.9298963466	0.3345013658
171	0.929965446	0.3343330574
172	0.9300217176	0.3341822201
173	0.930142493	0.3339505871
174	0.9302640798	0.3336706757
175	0.9303443444	0.3333710345
176	0.93035495	0.3332436197
177	0.9305008591	0.3329768281
178	0.9306378688	0.3323400337
179	0.930702589	0.3321651039
180	0.9307304355	0.331917341
181	0.9307349946	0.33185862
182	0.9307696882	0.3317323448
183	0.9307892022	0.3316552055
184	0.9308559522	0.3315164479
