iter	Passed	Remaining
0	288	288500
1	344	171827
2	425	141566
3	486	121221
4	709	141200
5	760	125950
6	811	115157
7	903	111973
8	982	108214
9	1238	122660
10	1354	121782
11	1487	122455
12	1549	117605
13	1626	114525
14	1688	110868
15	1797	110526
16	1865	107865
17	1923	104955
18	1977	102101
19	2081	102001
20	2161	100765
21	2222	98814
22	2288	97230
23	2392	97310
24	2528	98617
25	2583	96790
26	2882	103878
27	3003	104254
28	3086	103331
29	3155	102027
30	3399	106270
31	3517	106397
32	3648	106921
33	3709	105389
34	3830	105612
35	3926	105143
36	4046	105305
37	4129	104540
38	4194	103368
39	4262	102306
40	4339	101500
41	4420	100840
42	4478	99680
43	4542	98692
44	4613	97899
45	4675	96963
46	4747	96263
47	4878	96760
48	5060	98217
49	5306	100818
50	5365	99846
51	5422	98861
52	5474	97812
53	5537	97002
54	5592	96084
55	5649	95241
56	5710	94469
57	5809	94354
58	5887	93893
59	6018	94297
60	6076	93533
61	6138	92871
62	6207	92329
63	6371	93177
64	6433	92544
65	6494	91910
66	6553	91258
67	6609	90592
68	6668	89969
69	6733	89454
70	6794	88902
71	6848	88273
72	6913	87792
73	6976	87300
74	7068	87175
75	7127	86661
76	7188	86173
77	7242	85614
78	7274	84803
79	7333	84329
80	7398	83943
81	7488	83836
82	7539	83301
83	7602	82902
84	7664	82506
85	7737	82231
86	7793	81790
87	7860	81466
88	7950	81376
89	8094	81849
90	8162	81531
91	8216	81089
92	8278	80735
93	8341	80397
94	8395	79974
95	8453	79600
96	8507	79195
97	8584	79015
98	8666	78876
99	8806	79257
100	8860	78871
101	8919	78529
102	8982	78222
103	9048	77954
104	9082	77416
105	9157	77235
106	9256	77255
107	9330	77062
108	9411	76928
109	9492	76806
110	9567	76627
111	9683	76774
112	9743	76485
113	9813	76269
114	9879	76032
115	9945	75789
116	10009	75538
117	10070	75271
118	10130	74999
119	10194	74760
120	10275	74643
121	10486	75470
122	10552	75238
123	10617	75008
124	10676	74738
125	10741	74509
126	10807	74292
127	10867	74036
128	10932	73815
129	10993	73570
130	11054	73332
131	11088	72917
132	11155	72719
133	11245	72674
134	11311	72478
135	11393	72381
136	11462	72206
137	11546	72125
138	11662	72241
139	11741	72127
140	11829	72066
141	11845	71574
142	11925	71469
143	11981	71224
144	11997	70743
145	12076	70636
146	12136	70422
147	12212	70304
148	12363	70614
149	12428	70429
150	12474	70139
151	12502	69748
152	12593	69717
153	12793	70279
